Name,Level,Element,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Item Type,Name No Link,Link
Tizheruk Scale VI,60,Fear,-8,-8,-8,0,-8,6,6,6,6,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,2,0,0,0,0,0,Necklace,Tizheruk Scale VI,http://forums2.battleon.com/f/fb.asp?m=22390890
Tizheruk Scale V,50,Fear,-6,-6,-6,0,-6,5,5,5,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,2,0,0,0,0,0,Necklace,Tizheruk Scale V,http://forums2.battleon.com/f/fb.asp?m=22390888
Tizheruk Scale IV,40,Fear,-6,-6,-6,0,-6,4,4,4,4,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,2,0,0,0,0,0,Necklace,Tizheruk Scale IV,http://forums2.battleon.com/f/fb.asp?m=22390887
Tizheruk Scale III,30,Fear,-5,-5,-5,0,-5,2,2,3,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0,0,0,Necklace,Tizheruk Scale III,http://forums2.battleon.com/f/fb.asp?m=22390886
Tizheruk Scale II,20,Fear,-5,-5,-5,0,-5,1,1,2,2,0,0,0,2,2,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0,0,0,Necklace,Tizheruk Scale II,http://forums2.battleon.com/f/fb.asp?m=22390885
Tizheruk Scale I,10,Fear,-5,-5,-5,0,-5,0,0,1,1,0,0,0,1,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,2,0,0,0,0,0,Necklace,Tizheruk Scale I,http://forums2.battleon.com/f/fb.asp?m=22390884
Tarnished Relic DeathKnight Amulet,90,Darkness,12,12,12,0,0,16,16,10,10,5,5,5,15,15,15,0,10,-3,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,-3,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Tarnished Relic DeathKnight Amulet,http://forums2.battleon.com/f/fb.asp?m=22388554
Relic DeathKnight Amulet,90,Darkness,12,12,12,0,0,16,16,10,10,5,5,5,15,15,15,0,10,-3,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,-3,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Necklace,Relic DeathKnight Amulet,http://forums2.battleon.com/f/fb.asp?m=22387778
Zeclem's Relic Heirloom,90,Darkness,12,12,12,0,0,16,16,10,10,5,5,5,15,15,15,0,10,-3,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,-3,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Necklace,Zeclem's Relic Heirloom,http://forums2.battleon.com/f/fb.asp?m=22387769
Scarab's Soul,90,Stone,12,12,12,4,4,10,10,10,12,2,2,2,1,1,1,0,5,-5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,5,-5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,1,2,0,0,0,0,0,Necklace,Scarab's Soul,http://forums2.battleon.com/f/fb.asp?m=22378923
Refraction Pendant VII,90,Ice,11,11,11,11,11,11,11,5,5,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Refraction Pendant VII,http://forums2.battleon.com/f/fb.asp?m=22378603
Refraction Pendant VI,80,Ice,9,9,9,9,9,9,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Refraction Pendant VI,http://forums2.battleon.com/f/fb.asp?m=22378602
Refraction Pendant V,70,Ice,7,7,7,7,7,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Refraction Pendant V,http://forums2.battleon.com/f/fb.asp?m=22378601
Refraction Pendant IV,60,Ice,6,6,6,6,6,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Refraction Pendant IV,http://forums2.battleon.com/f/fb.asp?m=22378600
Refraction Pendant III,50,Ice,5,5,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Refraction Pendant III,http://forums2.battleon.com/f/fb.asp?m=22378598
Refraction Pendant II,40,Ice,4,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Refraction Pendant II,http://forums2.battleon.com/f/fb.asp?m=22378597
Refraction Pendant I,30,Ice,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Refraction Pendant I,http://forums2.battleon.com/f/fb.asp?m=22378596
Harmonized Cowbell 1001,90,Bacon,9,9,9,15,15,15,15,10,10,0,0,0,12,12,12,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Artifact,Harmonized Cowbell 1001,http://forums2.battleon.com/f/fb.asp?m=22377884
Harmonized Cowbell 1000,80,Bacon,8,8,8,13,13,13,13,8,8,0,0,0,10,10,10,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Artifact,Harmonized Cowbell 1000,http://forums2.battleon.com/f/fb.asp?m=22377883
Harmonized Cowbell 0111,70,Bacon,6,6,6,10,10,10,10,7,7,0,0,0,8,8,8,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0111,http://forums2.battleon.com/f/fb.asp?m=22377881
Harmonized Cowbell 0110,60,Bacon,5,5,5,8,8,8,8,6,6,0,0,0,6,6,6,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0110,http://forums2.battleon.com/f/fb.asp?m=22377880
Harmonized Cowbell 0101,50,Bacon,4,4,4,6,6,6,6,5,5,0,0,0,5,5,5,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0101,http://forums2.battleon.com/f/fb.asp?m=22377879
Harmonized Cowbell 0100,40,Bacon,3,3,3,5,5,5,5,4,4,0,0,0,4,4,4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0100,http://forums2.battleon.com/f/fb.asp?m=22377878
Harmonized Cowbell 0011,30,Bacon,2,2,2,4,4,4,4,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0011,http://forums2.battleon.com/f/fb.asp?m=22377876
Harmonized Cowbell 0010,20,Bacon,1,1,1,3,3,3,3,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0010,http://forums2.battleon.com/f/fb.asp?m=22377875
Harmonized Cowbell 0001,10,Bacon,0,0,0,2,2,2,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artifact,Harmonized Cowbell 0001,http://forums2.battleon.com/f/fb.asp?m=22377874
Shattered Amulet I,30,Stone,6,6,6,-3,-3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Shattered Amulet I,http://forums2.battleon.com/f/fb.asp?m=22374283
Shattered Amulet II,40,Stone,7,7,7,-4,-4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Shattered Amulet II,http://forums2.battleon.com/f/fb.asp?m=22374284
Shattered Amulet III,50,Stone,9,9,9,-5,-5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Shattered Amulet III,http://forums2.battleon.com/f/fb.asp?m=22374285
Shattered Amulet IV,60,Stone,11,11,11,-6,-6,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Necklace,Shattered Amulet IV,http://forums2.battleon.com/f/fb.asp?m=22374286
Shattered Amulet V,70,Stone,13,13,13,-7,-7,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Shattered Amulet V,http://forums2.battleon.com/f/fb.asp?m=22374287
Shattered Amulet VI,80,Stone,15,15,15,-9,-9,9,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Shattered Amulet VI,http://forums2.battleon.com/f/fb.asp?m=22374288
Shattered Amulet VII,90,Stone,17,17,17,-11,-11,11,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Necklace,Shattered Amulet VII,http://forums2.battleon.com/f/fb.asp?m=22374289
Rough-Hewn Collar I,30,Nature,0,0,0,6,6,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,2,0,0,0,0,0,Necklace,Rough-Hewn Collar I,http://forums2.battleon.com/f/fb.asp?m=22368326
Rough-Hewn Collar II,40,Nature,0,0,0,7,7,4,4,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,2,0,0,0,0,0,Necklace,Rough-Hewn Collar II,http://forums2.battleon.com/f/fb.asp?m=22368327
Rough-Hewn Collar III,50,Nature,0,0,0,9,9,5,5,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,2,0,0,0,0,0,Necklace,Rough-Hewn Collar III,http://forums2.battleon.com/f/fb.asp?m=22368328
Rough-Hewn Collar IV,60,Nature,0,0,0,11,11,6,6,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,0,2,0,0,0,0,0,Necklace,Rough-Hewn Collar IV,http://forums2.battleon.com/f/fb.asp?m=22368329
Rough-Hewn Collar V,70,Nature,0,0,0,15,15,7,7,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,0,2,2,0,0,0,0,0,Necklace,Rough-Hewn Collar V,http://forums2.battleon.com/f/fb.asp?m=22368330
Rough-Hewn Collar VI,80,Nature,0,0,0,19,19,9,9,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,0,2,2,0,0,0,0,0,Necklace,Rough-Hewn Collar VI,http://forums2.battleon.com/f/fb.asp?m=22368331
Rough-Hewn Collar VII,90,Nature,0,0,0,24,24,11,11,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,2,2,0,0,0,0,0,Necklace,Rough-Hewn Collar VII,http://forums2.battleon.com/f/fb.asp?m=22368332
Abhorrent Agneau,70,Nature,6,6,6,0,0,9,-1,6,3,4,4,4,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Abhorrent Agneau,http://forums2.battleon.com/f/fb.asp?m=21807440
Acclaimed Adventurer's Chain,15,None,2,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Necklace,Acclaimed Adventurer's Chain,http://forums2.battleon.com/f/fb.asp?m=18586906
Adventurer's Chain,15,None,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Adventurer's Chain,http://forums2.battleon.com/f/fb.asp?m=15648717
Aegis' Gratitude,27,Ice,0,0,0,3,0,1,1,2,3,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Aegis' Gratitude,http://forums2.battleon.com/f/fb.asp?m=22150262
Aegis' Gratitude,37,Ice,0,0,0,5,0,3,3,3,4,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Aegis' Gratitude,http://forums2.battleon.com/f/fb.asp?m=22150263
Aegis' Gratitude,47,Ice,0,0,0,6,0,4,4,4,5,0,0,2,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Aegis' Gratitude,http://forums2.battleon.com/f/fb.asp?m=22150264
Aegis' Gratitude,57,Ice,0,0,0,8,0,6,6,5,6,0,0,3,5,5,5,0,1,-1,-1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Aegis' Gratitude,http://forums2.battleon.com/f/fb.asp?m=22150265
Aegis' Gratitude,67,Ice,0,0,0,10,0,8,8,6,7,0,0,4,6,6,6,0,3,-3,-3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,-3,-3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Necklace,Aegis' Gratitude,http://forums2.battleon.com/f/fb.asp?m=22150266
Aegis' Gratitude,77,Ice,0,0,0,15,0,12,12,7,8,0,0,4,8,8,8,0,6,-6,-8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,-6,-8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Necklace,Aegis' Gratitude,http://forums2.battleon.com/f/fb.asp?m=22320624
