Name,Level,Element,Damage,Damage Low,Damage High,STR,DEX,INT,CHA,LUK,END,WIS,Crit,Bonus,Melee Def,Pierce Def,Magic Def,Block,Parry,Dodge,All,Immobility,Health,Mana,Shrink,???,Bacon,Darkness,Disease,Energy,Evil,Fear,Fire,Good,Ice,Light,Metal,Nature,None,Poison,Silver,Stone,Water,Wind,Immobility+All,Health+All,Mana+All,Shrink+All,???+All,Bacon+All,Darkness+All,Disease+All,Energy+All,Evil+All,Fear+All,Fire+All,Good+All,Ice+All,Light+All,Metal+All,Nature+All,None+All,Poison+All,Silver+All,Stone+All,Water+All,Wind+All,DA,DC,Rare,Seasonal,DM,Guardian,Special Offer,Has Special,Item Type,Attack Type,Name No Link,Link
Loser's Club IX,90,Wind,93.5,1,186,15,15,15,15,30,0,0,0,10,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,2,2,0,1,0,0,0,0,Mace,Melee,Loser's Club IX,http://forums2.battleon.com/f/fb.asp?m=22397227
Twisted Balloon Staff IX,90,Wind,93.5,1,186,15,15,15,15,30,0,0,0,10,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,2,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff IX,http://forums2.battleon.com/f/fb.asp?m=22397237
Paper Boat Dagger VIII,80,Wind,88.5,1,176,13,13,13,13,24,0,0,0,9,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,2,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger VIII,http://forums2.battleon.com/f/fb.asp?m=22397246
Loser's Club VIII,80,Wind,88.5,1,176,13,13,13,13,24,0,0,0,9,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,2,2,0,1,0,0,0,0,Mace,Melee,Loser's Club VIII,http://forums2.battleon.com/f/fb.asp?m=22397226
Twisted Balloon Staff VIII,80,Wind,88.5,1,176,13,13,13,13,24,0,0,0,9,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,2,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff VIII,http://forums2.battleon.com/f/fb.asp?m=22397236
Paper Boat Dagger VII,70,Wind,80.5,1,160,10,10,10,10,21,0,0,0,7,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,2,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger VII,http://forums2.battleon.com/f/fb.asp?m=22397245
Loser's Club VII,70,Wind,80.5,1,160,10,10,10,10,21,0,0,0,7,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,2,2,0,1,0,0,0,0,Mace,Melee,Loser's Club VII,http://forums2.battleon.com/f/fb.asp?m=22397225
Twisted Balloon Staff VII,70,Wind,80.5,1,160,10,10,10,10,21,0,0,0,7,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,2,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff VII,http://forums2.battleon.com/f/fb.asp?m=22397235
Paper Boat Dagger VI,60,Wind,74.5,1,148,8,8,8,8,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger VI,http://forums2.battleon.com/f/fb.asp?m=22397244
Loser's Club VI,60,Wind,74.5,1,148,8,8,8,8,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,1,0,0,0,0,Mace,Melee,Loser's Club VI,http://forums2.battleon.com/f/fb.asp?m=22397224
Twisted Balloon Staff VI,60,Wind,74.5,1,148,8,8,8,8,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff VI,http://forums2.battleon.com/f/fb.asp?m=22397234
Paper Boat Dagger V,50,Wind,66.5,1,132,6,6,6,6,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger V,http://forums2.battleon.com/f/fb.asp?m=22397243
Loser's Club V,50,Wind,66.5,1,132,6,6,6,6,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Mace,Melee,Loser's Club V,http://forums2.battleon.com/f/fb.asp?m=22397223
Twisted Balloon Staff V,50,Wind,66.5,1,132,6,6,6,6,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff V,http://forums2.battleon.com/f/fb.asp?m=22397233
Paper Boat Dagger IV,40,Wind,60,1,119,4,4,4,4,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger IV,http://forums2.battleon.com/f/fb.asp?m=22397242
Loser's Club IV,40,Wind,60,1,119,4,4,4,4,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,1,0,0,0,0,Mace,Melee,Loser's Club IV,http://forums2.battleon.com/f/fb.asp?m=22397222
Twisted Balloon Staff IV,40,Wind,60,1,119,4,4,4,4,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff IV,http://forums2.battleon.com/f/fb.asp?m=22397232
Paper Boat Dagger III,30,Wind,50.5,1,100,3,3,3,3,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger III,http://forums2.battleon.com/f/fb.asp?m=22397241
Loser's Club III,30,Wind,50.5,1,100,3,3,3,3,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,0,0,Mace,Melee,Loser's Club III,http://forums2.battleon.com/f/fb.asp?m=22397221
Twisted Balloon Staff III,30,Wind,50.5,1,100,3,3,3,3,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff III,http://forums2.battleon.com/f/fb.asp?m=22397231
Paper Boat Dagger II,20,Wind,40,1,79,2,2,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger II,http://forums2.battleon.com/f/fb.asp?m=22397240
Loser's Club II,20,Wind,40,1,79,2,2,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,Mace,Melee,Loser's Club II,http://forums2.battleon.com/f/fb.asp?m=22397220
Twisted Balloon Staff II,20,Wind,40,1,79,2,2,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff II,http://forums2.battleon.com/f/fb.asp?m=22397230
Paper Boat Dagger I,10,Wind,27,1,53,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Dagger,Pierce,Paper Boat Dagger I,http://forums2.battleon.com/f/fb.asp?m=22397239
Loser's Club I,10,Wind,27,1,53,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Mace,Melee,Loser's Club I,http://forums2.battleon.com/f/fb.asp?m=22397219
Twisted Balloon Staff I,10,Wind,27,1,53,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Staff,Magic,Twisted Balloon Staff I,http://forums2.battleon.com/f/fb.asp?m=22397229
Maker-Touched Zweihander III,90,Good,94,94,94,15,15,15,0,0,5,5,20,20,3,3,3,3,3,3,5,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0,0,0,0,Scythe,Magic/Pierce/Melee,Maker-Touched Zweihander III,http://forums2.battleon.com/f/fb.asp?m=22395572
Maker-Touched Zweihander II,70,Good,83,83,83,9,9,9,0,0,4,4,13,13,0,0,0,0,0,0,4,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,0,Scythe,Magic/Pierce/Melee,Maker-Touched Zweihander II,http://forums2.battleon.com/f/fb.asp?m=22395571
Maker-Touched Zweihander I,50,Good,70,70,70,6,6,6,0,0,2,2,10,10,0,0,0,0,0,0,3,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,Scythe,Magic/Pierce/Melee,Maker-Touched Zweihander I,http://forums2.battleon.com/f/fb.asp?m=22395570
Astravian Wingknife,90,Fire,95,83,107,16,16,16,10,10,0,0,10,12,0,0,0,15,15,15,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Dagger,Pierce,Astravian Wingknife,http://forums2.battleon.com/f/fb.asp?m=22395561
Astravian Wingblade,90,Fire,95,83,107,16,16,16,10,10,0,0,10,12,0,0,0,15,15,15,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Sword,Melee,Astravian Wingblade,http://forums2.battleon.com/f/fb.asp?m=22395568
Astravian Wingstaff,90,Fire,95,83,107,16,16,16,10,10,0,0,10,12,0,0,0,15,15,15,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Staff,Magic,Astravian Wingstaff,http://forums2.battleon.com/f/fb.asp?m=22395539
Astravian Wingblade,80,Fire,90,78,102,12,12,12,10,10,0,0,8,11,0,0,0,15,15,15,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Sword,Melee,Astravian Wingblade,http://forums2.battleon.com/f/fb.asp?m=22395567
Astravian Wingstaff,80,Fire,90,78,102,12,12,12,10,10,0,0,8,11,0,0,0,15,15,15,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Staff,Magic,Astravian Wingstaff,http://forums2.battleon.com/f/fb.asp?m=22395538
Astravian Wingknife,80,Fire,90,78,102,12,12,12,10,10,0,0,8,11,0,0,0,15,15,15,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Dagger,Pierce,Astravian Wingknife,http://forums2.battleon.com/f/fb.asp?m=22395560
Astravian Wingknife,70,Fire,83,74,92,9,9,9,8,8,0,0,6,9,0,0,0,12,12,12,0,0,-3,-3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Dagger,Pierce,Astravian Wingknife,http://forums2.battleon.com/f/fb.asp?m=22395559
Astravian Wingblade,70,Fire,83,74,92,9,9,9,8,8,0,0,6,9,0,0,0,12,12,12,0,0,-3,-3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Sword,Melee,Astravian Wingblade,http://forums2.battleon.com/f/fb.asp?m=22395566
Astravian Wingstaff,70,Fire,83,74,92,9,9,9,8,8,0,0,6,9,0,0,0,12,12,12,0,0,-3,-3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Staff,Magic,Astravian Wingstaff,http://forums2.battleon.com/f/fb.asp?m=22395537
Astravian Wingstaff,50,Fire,70,61,79,6,6,6,6,6,0,0,6,7,0,0,0,8,8,8,0,0,-2,-2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Staff,Magic,Astravian Wingstaff,http://forums2.battleon.com/f/fb.asp?m=22395536
Astravian Wingblade,50,Fire,70,61,79,6,6,6,6,6,0,0,6,7,0,0,0,8,8,8,0,0,-2,-2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Sword,Melee,Astravian Wingblade,http://forums2.battleon.com/f/fb.asp?m=22395564
Astravian Wingknife,50,Fire,70,61,79,6,6,6,6,6,0,0,6,7,0,0,0,8,8,8,0,0,-2,-2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Dagger,Pierce,Astravian Wingknife,http://forums2.battleon.com/f/fb.asp?m=22395558
Astravian Wingknife,30,Fire,54,46,62,4,4,4,4,4,0,0,4,4,0,0,0,6,6,6,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Dagger,Pierce,Astravian Wingknife,http://forums2.battleon.com/f/fb.asp?m=22395557
Astravian Wingstaff,30,Fire,54,46,62,4,4,4,4,4,0,0,4,4,0,0,0,6,6,6,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Staff,Magic,Astravian Wingstaff,http://forums2.battleon.com/f/fb.asp?m=22395535
Astravian Wingblade,30,Fire,54,46,62,4,4,4,4,4,0,0,4,4,0,0,0,6,6,6,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Sword,Melee,Astravian Wingblade,http://forums2.battleon.com/f/fb.asp?m=22395563
Astravian Wingknife,10,Fire,31,23,39,2,2,2,2,2,0,0,2,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Dagger,Pierce,Astravian Wingknife,http://forums2.battleon.com/f/fb.asp?m=22395556
Astravian Wingblade,10,Fire,31,23,39,2,2,2,2,2,0,0,2,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Sword,Melee,Astravian Wingblade,http://forums2.battleon.com/f/fb.asp?m=22395562
Astravian Wingstaff,10,Fire,31,23,39,2,2,2,2,2,0,0,2,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Staff,Magic,Astravian Wingstaff,http://forums2.battleon.com/f/fb.asp?m=22395534
Neo Grove Tender's Blade,90,Nature,95,83,107,16,16,16,0,0,10,10,10,12,0,0,0,15,15,15,0,0,-5,-5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,-5,-5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Scythe,Magic/Pierce/Melee,Neo Grove Tender's Blade,http://forums2.battleon.com/f/fb.asp?m=22395619
Neo Grove Tender's Blade,80,Nature,90,78,102,12,12,12,0,0,10,10,8,11,0,0,0,15,15,15,0,0,-5,-5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,-5,-5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Scythe,Magic/Pierce/Melee,Neo Grove Tender's Blade,http://forums2.battleon.com/f/fb.asp?m=22395618
Neo Grove Tender's Blade,70,Nature,83,74,92,9,9,9,0,0,8,8,6,9,0,0,0,12,12,12,0,0,-3,-3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-3,-3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Scythe,Magic/Pierce/Melee,Neo Grove Tender's Blade,http://forums2.battleon.com/f/fb.asp?m=22395617
Neo Grove Tender's Blade,50,Nature,70,61,79,6,6,6,0,0,6,6,6,7,0,0,0,8,8,8,0,0,-2,-2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-2,-2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Scythe,Magic/Pierce/Melee,Neo Grove Tender's Blade,http://forums2.battleon.com/f/fb.asp?m=22395616
